what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347576396603
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347576438102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347576442046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347576451284
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1347576451300
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1347576454728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347576459213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347576459581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347576464694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347576474463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347576474836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347576480468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347576513633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347576514217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347576525777
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1347576525791
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1347576531828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347576536787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347576537824
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347576543241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347576562599
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347576570927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347576673002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347576674921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347576680577
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1347577340754
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1347577341054
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347577372539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347577375784
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347577381986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347577382697
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347577386778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347577455054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347577456476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347577467669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347577907098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347577914033
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1347577914058
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1347577932436
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1347577938271
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1347577938444
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347577942832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347577943480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347577949831
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1347577949845
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1347577956266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1347577961164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347577963724
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347577967616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347577968919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347577975157
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1347577975173
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1347577978113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1347578003369
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347578008364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347578009823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347578012596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347578017917
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1347578028248
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347578030202
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1347578032263
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1347578032422
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347578035859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347578037019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347578045657
